,sample_id,Tier_A,Tier_B,leiden_annotation,x_centroid,y_centroid,epi_kmeans_6,epi_kmeans_8,epi_kmeans_10,epi_kmeans_12,epi_kmeans_14
aaaabjea-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5952.44140625,1723.567626953125,1,6,6,6,6
aaaagkdm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5968.4580078125,1720.0582275390625,1,6,6,6,6
aaaamcdi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5959.34814453125,1724.971923828125,1,6,6,6,6
aaaaoidb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5972.5078125,1754.219482421875,1,6,6,6,6
aaabklbj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5970.8095703125,1758.8726806640625,1,6,6,6,6
aaabklfb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5982.75390625,1757.431884765625,1,6,6,6,6
aaablgjd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5980.845703125,1753.3834228515625,1,6,6,6,6
aaacemdi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5963.61474609375,1743.6483154296875,1,6,6,6,6
aaacpcca-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5978.92919921875,1747.47216796875,1,6,6,6,6
aaadmbfh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5960.41162109375,1734.7008056640625,1,6,6,6,6
aaadmkbk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5974.60205078125,1744.845703125,1,6,6,6,6
aaadplig-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5957.2626953125,1742.4232177734375,1,6,6,6,6
aaaeagim-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5970.92236328125,1741.4093017578125,4,6,6,6,6
aaaeaicg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5962.49560546875,1726.540283203125,1,1,1,1,1
aaaebaij-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5967.54736328125,1727.7193603515625,1,6,6,6,6
aaafbkol-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5969.39453125,1766.0972900390625,4,6,6,6,6
aaafnndj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5975.89453125,1773.6533203125,1,6,6,6,6
aaafogne-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5981.63671875,1769.20849609375,1,6,6,6,6
aaagekej-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5984.615234375,1763.6239013671875,1,6,6,6,6
aaajgggh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5970.0625,1777.4945068359375,1,6,6,6,6
aaajjkje-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5961.05419921875,1784.99169921875,1,1,1,4,4
aaajmelh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5966.44677734375,1788.2220458984375,1,6,6,6,6
aaajooof-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5962.796875,1778.1927490234375,1,1,1,4,4
aaajpgjj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5974.8720703125,1781.841552734375,1,6,6,6,6
aabdcgpf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5980.47412109375,1799.16943359375,1,1,1,1,1
aabdkfde-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5992.4794921875,1795.31396484375,1,6,6,6,6
aabdlnne-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5987.95751953125,1794.5316162109375,1,1,1,1,1
aabebcec-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5997.40234375,1799.2781982421875,4,6,6,10,10
aabebgpp-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5983.6455078125,1802.412353515625,4,6,6,6,6
aabefhgp-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5992.7041015625,1785.8973388671875,4,6,6,6,6
aabefngm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5969.5458984375,1818.286865234375,1,6,6,6,6
aabegfco-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5983.9140625,1811.0904541015625,4,6,6,6,6
aabfcnpb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5980.32275390625,1808.12744140625,1,6,6,6,6
aabfhnmk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5978.646484375,1817.7034912109375,1,6,6,6,6
aabgglpg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5965.9814453125,1792.5020751953125,1,6,6,6,6
aabhiikn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5976.669921875,1798.9239501953125,4,6,6,6,6
aabhjmho-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5975.7265625,1793.59130859375,4,6,6,10,10
aabhjngb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5967.9306640625,1795.3948974609375,1,6,6,6,6
aablbiom-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5969.41259765625,1880.7781982421875,4,4,4,10,10
aabldgjf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5980.92578125,1885.8529052734375,4,4,4,10,10
aabldgon-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5974.3984375,1894.8065185546875,4,4,4,10,10
aablfjkb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5975.20361328125,1884.6878662109375,4,4,4,10,10
aablkcdd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5983.4013671875,1891.5831298828125,4,4,4,4,4
aablkcpg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5990.9697265625,1879.9910888671875,4,4,4,10,10
aabmahgi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5988.4970703125,1885.79931640625,4,4,4,4,4
aabmelpd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5992.2275390625,1890.0574951171875,4,6,6,6,6
aabnfbfg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5978.5654296875,1858.0421142578125,4,4,4,4,4
aabngkmk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5980.62255859375,1873.9962158203125,4,4,4,10,10
aabnjnna-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5969.43115234375,1874.0570068359375,4,4,4,10,10
aabnldgn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5986.10546875,1868.3009033203125,4,4,4,10,10
aabnngbf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5975.7041015625,1865.03662109375,4,4,4,10,10
aaboomeg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5973.76123046875,1827.2591552734375,4,6,6,10,10
aabpfohm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5971.22998046875,1822.962646484375,1,6,6,6,6
aacajfkm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5983.2802734375,1853.7615966796875,1,4,4,4,4
aacbebbd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5980.13720703125,1847.1484375,4,4,4,10,10
aaciahkk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5991.08447265625,1819.9666748046875,1,6,6,6,6
aaciofem-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5987.51318359375,1829.265380859375,4,6,6,10,10
aacjbjbc-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5981.5673828125,1827.946044921875,1,6,6,6,6
aacjkcmn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5984.03173828125,1820.797607421875,1,6,6,6,6
aackakdd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5991.943359375,1831.601318359375,1,6,6,4,4
aackbedc-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5987.869140625,1862.5826416015625,4,4,4,10,10
aackkaem-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5995.24462890625,1856.9205322265625,4,4,4,10,10
aaclcebj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5992.6669921875,1849.87353515625,4,4,4,10,10
aacldnjg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5988.15087890625,1838.844482421875,4,4,4,10,10
aacljfkl-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6005.5478515625,1803.834716796875,1,1,1,1,1
aaclnnle-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5999.998046875,1820.425537109375,1,6,6,6,6
aacmbkpg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5998.6103515625,1816.5081787109375,1,6,6,6,6
aacmfheh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6002.56103515625,1824.5860595703125,4,6,6,6,6
aacmgipm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5994.162109375,1812.2127685546875,1,6,6,6,6
aacmlfpk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6002.4580078125,1810.2662353515625,1,1,1,1,1
aacnbpjj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5999.7607421875,1844.0537109375,4,4,4,10,10
aacnhldd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6004.10205078125,1836.1170654296875,4,6,6,10,10
aacnlmnk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,5996.49609375,1833.16845703125,1,6,6,6,6
aacnopjm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6002.9267578125,1829.487060546875,1,1,1,4,4
aaebpghe-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6052.2431640625,1888.9908447265625,4,4,4,10,10
aaecmbdi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6044.3046875,1915.9774169921875,4,4,4,4,13
aaedclpc-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6034.79052734375,1917.602783203125,1,1,1,4,4
aaedoihl-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6056.310546875,1927.261962890625,1,1,1,4,4
aaeehanb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6056.412109375,1921.5474853515625,4,4,4,4,4
aaeehdea-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6054.83447265625,1915.3538818359375,4,4,4,4,4
aaeelimn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6047.16064453125,1892.8406982421875,4,4,4,10,10
aaefjckp-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6045.01171875,1902.62646484375,1,1,1,4,4
aaefojim-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6038.6826171875,1911.7593994140625,4,4,4,10,10
aaefomfi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6048.5791015625,1908.166259765625,4,4,4,4,13
aaegapll-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6045.93994140625,1897.566162109375,1,4,4,4,4
aaegbobl-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6040.84912109375,1894.350830078125,1,4,4,4,4
aaegfnem-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6047.6552734375,1922.14697265625,1,1,1,4,4
aaehdece-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6049.4638671875,1927.9554443359375,4,4,4,4,4
aaehjpoa-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6041.421875,1926.7713623046875,4,4,4,10,10
aaehocoa-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6058.4814453125,1933.872314453125,4,4,4,4,4
aaeigckf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6059.0615234375,1940.3126220703125,4,4,4,4,4
aaeikefl-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6068.4755859375,1934.45068359375,4,4,4,4,4
aaeilllj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6069.529296875,1938.2552490234375,4,4,4,4,4
aaeilnme-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6065.1787109375,1933.0125732421875,4,4,4,4,4
aaeipcgj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6042.0791015625,1938.350341796875,1,6,6,6,6
aaeiphcd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6051.1083984375,1938.52294921875,4,4,4,4,4
aaejkpbg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6051.49560546875,1933.245361328125,4,4,4,4,4
aaejlfki-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6043.30224609375,1933.3665771484375,1,4,4,4,4
aaejnkeo-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6029.072265625,1904.441650390625,4,4,4,10,10
aaekbcbe-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6023.5009765625,1916.3466796875,4,4,4,10,10
aaekcaio-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6032.07275390625,1921.5389404296875,4,4,4,4,4
aaekgbhi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6023.505859375,1921.606201171875,1,4,4,4,4
aaekgnlm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6029.98486328125,1912.565673828125,4,4,4,10,10
aaeklgim-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6017.07568359375,1913.3045654296875,1,4,4,4,4
aaekoihh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6013.77197265625,1938.3387451171875,1,1,1,1,1
aaeldlap-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6008.35302734375,1938.6585693359375,1,1,1,4,4
aaelehod-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6018.60986328125,1920.5621337890625,1,1,1,1,1
aaelfhpd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6012.71923828125,1920.07470703125,4,4,4,10,10
aaelhnak-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6006.1875,1911.1077880859375,4,4,4,10,10
aaelmehj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6013.62451171875,1907.93603515625,4,4,4,10,10
aaemgmbf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6009.74072265625,1902.4453125,4,4,4,10,10
aaemiaml-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6010.7421875,1914.603271484375,4,4,4,10,10
aaemlepn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6017.1171875,1900.4163818359375,4,4,4,4,4
aaenhfek-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6023.4091796875,1911.545654296875,1,1,1,1,1
aaenkeha-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6021.83740234375,1906.421630859375,4,4,4,10,10
aaenkjbd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6040.47412109375,1942.6104736328125,1,1,1,4,4
aaenlfho-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6039.56591796875,1947.3427734375,4,4,4,10,10
aaennaad-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6062.546875,1944.407470703125,4,4,4,10,4
aaeoheaj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6054.38037109375,1944.8853759765625,1,1,1,4,4
aaeohpck-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6069.91650390625,1942.6005859375,4,4,4,4,4
aaeoiili-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6047.4091796875,1942.7034912109375,4,4,4,10,10
aaeokeho-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6039.3837890625,1956.107177734375,1,4,4,4,4
aaeopngg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6043.96240234375,1958.976318359375,1,1,1,1,1
aaepihif-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6056.4970703125,1956.7467041015625,4,4,4,10,10
aaepjjli-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6049.67041015625,1963.068603515625,4,4,4,4,4
aaepkmoj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6051.44677734375,1958.7283935546875,4,4,4,4,4
aaepoifb-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6059.8330078125,1948.683837890625,4,4,4,10,10
aafadmaa-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6058.2880859375,1952.5272216796875,4,4,4,10,10
aafaedkc-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6045.439453125,1953.370849609375,1,1,1,1,1
aafafpcj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6048.50927734375,1948.9560546875,4,4,4,10,10
aafbfllk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6041.1005859375,1974.2464599609375,1,1,1,1,1
aafbiboo-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6034.71484375,1981.24072265625,4,4,4,10,10
aafbmolj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6043.13720703125,1979.933349609375,1,1,1,4,4
aafcnjpd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6035.6669921875,1976.6580810546875,1,4,4,4,4
aafdcfgd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6037.826171875,1990.440185546875,1,1,1,1,1
aafdhjcg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6049.0302734375,1993.615966796875,1,4,4,4,4
aafdichm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6043.21484375,1993.5291748046875,4,4,4,10,10
aafdojaf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6025.08251953125,1990.914794921875,4,4,4,4,4
aafedjbd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6035.9912109375,1996.4512939453125,4,4,4,4,4
aafefnah-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6032.40087890625,1991.698486328125,1,1,1,4,4
aaffnpcd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6033.0869140625,1985.8187255859375,4,4,4,10,10
aafgafbn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6047.57373046875,1972.552734375,4,4,4,4,4
aafgcnlj-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6048.29736328125,1984.9361572265625,4,4,4,4,4
aafgegcm-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6047.3125,1976.5384521484375,4,4,4,4,4
aafggkab-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6048.4912109375,1968.459716796875,1,1,1,4,4
aafgkpjn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6041.1162109375,1964.4945068359375,4,4,4,4,4
aafgmioc-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6034.70947265625,1970.052734375,4,4,4,4,4
aafgnkno-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6041.0791015625,1969.6661376953125,1,1,1,4,4
aafhffgh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6058.046875,1983.68115234375,1,1,1,1,4
aafhhcod-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6051.07763671875,1980.2945556640625,4,4,4,4,13
aafiffoi-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6049.50390625,1988.4627685546875,1,1,1,1,4
aafiipao-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6059.8720703125,1994.253662109375,4,3,3,4,3
aafijchl-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6062.91259765625,1988.2706298828125,4,4,4,4,4
aafimdek-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6054.89404296875,1989.2569580078125,1,4,4,4,4
aafinjao-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6061.32568359375,1962.1661376953125,1,1,1,1,1
aafjclad-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6056.1572265625,1968.4071044921875,4,4,4,4,4
aafjdfnn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6060.27099609375,1964.966552734375,4,4,4,4,4
aafjfiga-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6060.1865234375,1972.4178466796875,4,4,4,4,4
aafjibif-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6058.3701171875,1977.494140625,1,1,1,1,4
aafjimff-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6054.1357421875,1974.621826171875,4,4,4,4,4
aafjjbpd-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6024.919921875,1946.2076416015625,1,1,1,1,1
aafjkeih-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6024.40625,1956.885986328125,4,4,4,4,4
aafjkmal-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6023.64453125,1953.37451171875,1,1,1,4,4
aafkcklk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6025.05712890625,1949.4864501953125,1,1,1,1,1
aafkjkjk-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6030.2099609375,1946.1824951171875,1,1,1,4,4
aafkjpje-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6030.890625,1957.0501708984375,4,4,4,4,4
aaflbjjg-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6031.865234375,1952.9825439453125,4,4,4,10,10
aaflcfbf-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6033.78076171875,1949.84423828125,1,1,1,4,4
aaflgfok-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6016.5498046875,1963.2010498046875,4,4,4,10,10
aaflhanh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6028.986328125,1963.50439453125,4,4,4,10,10
aafmhjnh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6010.0517578125,1924.3106689453125,1,1,1,1,1
aafmlimn-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6009.9169921875,1942.337890625,1,1,1,4,4
aafmlkkh-1,pdac_io_v1,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1,6010.259765625,1934.8868408203125,1,1,1,4,4
